,,Party,,,,,,,,,,
COUNTY,FIPS,CON,DEM,LIB,REP,UNA,Total,CON PERCENT,DEM PERCENT,LIB PERCENT,REP PERCENT,UNA PERCENT
ADA,16001,946,"61,754","4,345","168,169","105,305","340,519",0.28,18.14,1.28,49.39,30.92
ADAMS,16003,15,242,21,"2,352",628,"3,258",0.46,7.43,0.64,72.19,19.28
BANNOCK,16005,214,"6,760",589,"25,373","18,707","51,643",0.41,13.09,1.14,49.13,36.22
BEAR LAKE,16007,20,165,15,"3,211",591,"4,002",0.5,4.12,0.37,80.23,14.77
BENEWAH,16009,57,537,47,"4,526","1,504","6,671",0.85,8.05,0.7,67.85,22.55
BINGHAM,16011,121,"1,903",179,"16,942","5,505","24,650",0.49,7.72,0.73,68.73,22.33
BLAINE,16013,30,"4,986",144,"4,926","6,563","16,649",0.18,29.95,0.86,29.59,39.42
BOISE,16015,50,468,68,"4,510","1,327","6,423",0.78,7.29,1.06,70.22,20.66
BONNER,16017,273,"3,175",433,"25,544","7,184","36,609",0.75,8.67,1.18,69.78,19.62
BONNEVILLE,16019,281,"6,088",737,"42,922","18,164","68,192",0.41,8.93,1.08,62.94,26.64
BOUNDARY,16021,52,455,80,"6,732","1,339","8,658",0.6,5.26,0.92,77.75,15.47
BUTTE,16023,5,76,7,"1,360",286,"1,734",0.29,4.38,0.4,78.43,16.49
CAMAS,16025,5,63,6,657,124,855,0.58,7.37,0.7,76.84,14.5
CANYON,16027,583,"14,425","1,477","77,353","33,079","126,917",0.46,11.37,1.16,60.95,26.06
CARIBOU,16029,18,152,39,"3,369",643,"4,221",0.43,3.6,0.92,79.82,15.23
CASSIA,16031,34,706,73,"8,719","2,068","11,600",0.29,6.09,0.63,75.16,17.83
CLARK,16033,2,21,2,313,55,393,0.51,5.34,0.51,79.64,13.99
CLEARWATER,16035,25,392,42,"3,665","1,180","5,304",0.47,7.39,0.79,69.1,22.25
CUSTER,16037,6,144,11,"2,364",462,"2,987",0.2,4.82,0.37,79.14,15.47
ELMORE,16039,79,"1,409",148,"8,615","3,370","13,621",0.58,10.34,1.09,63.25,24.74
FRANKLIN,16041,47,268,58,"6,899","1,330","8,602",0.55,3.12,0.67,80.2,15.46
FREMONT,16043,28,354,39,"6,463","1,381","8,265",0.34,4.28,0.47,78.2,16.71
GEM,16045,74,815,114,"9,517","2,490","13,010",0.57,6.26,0.88,73.15,19.14
GOODING,16047,35,596,56,"5,086","1,527","7,300",0.48,8.16,0.77,69.67,20.92
IDAHO,16049,67,600,93,"9,445","1,893","12,098",0.55,4.96,0.77,78.07,15.65
JEFFERSON,16051,88,627,130,"14,503","3,266","18,614",0.47,3.37,0.7,77.91,17.55
JEROME,16053,57,945,91,"6,317","2,365","9,775",0.58,9.67,0.93,64.62,24.19
KOOTENAI,16055,616,"11,277","1,510","78,452","28,318","120,173",0.51,9.38,1.26,65.28,23.56
LATAH,16057,81,"5,131",326,"11,217","8,536","25,291",0.32,20.29,1.29,44.35,33.75
LEMHI,16059,14,361,35,"4,275",813,"5,498",0.25,6.57,0.64,77.76,14.79
LEWIS,16061,17,149,18,"1,671",471,"2,326",0.73,6.41,0.77,71.84,20.25
LINCOLN,16063,9,191,12,"1,781",547,"2,540",0.35,7.52,0.47,70.12,21.54
MADISON,16065,110,977,251,"14,462","4,561","20,361",0.54,4.8,1.23,71.03,22.4
MINIDOKA,16067,39,774,63,"6,602","2,046","9,524",0.41,8.13,0.66,69.32,21.48
NEZ PERCE,16069,110,"3,072",242,"13,604","8,197","25,225",0.44,12.18,0.96,53.93,32.5
ONEIDA,16071,15,110,27,"2,453",408,"3,013",0.5,3.65,0.9,81.41,13.54
OWYHEE,16073,44,485,55,"4,708","1,134","6,426",0.68,7.55,0.86,73.26,17.65
PAYETTE,16075,88,"1,123",137,"9,831","3,057","14,236",0.62,7.89,0.96,69.06,21.47
POWER,16077,11,450,27,"2,394","1,011","3,893",0.28,11.56,0.69,61.49,25.97
SHOSHONE,16079,45,"1,213",73,"4,535","2,169","8,035",0.56,15.1,0.91,56.44,26.99
TETON,16081,21,"1,910",101,"3,531","2,766","8,329",0.25,22.93,1.21,42.39,33.21
TWIN FALLS,16083,174,"4,480",477,"29,997","12,225","47,353",0.37,9.46,1.01,63.35,25.82
VALLEY,16085,29,"1,250",80,"5,495","2,191","9,045",0.32,13.82,0.88,60.75,24.22
WASHINGTON,16087,17,491,48,"5,022","1,048","6,626",0.26,7.41,0.72,75.79,15.82
