Education (Less than 9th grade) for Idaho by County,,,,
Population Ages 25+,,,,
"All Races (includes Hispanic/Latino), Both Sexes, 2019-2023",,,,
Sorted by Value,,,,
,,,,
County,FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US (of 3143 counties)
Jerome County,16053,14.4,2191,"3,089"
Owyhee County,16073,13.6,1121,"3,079"
Camas County,16025,10,74,"2,995"
Lincoln County,16063,9.3,324,"2,965"
Minidoka County,16067,9,1219,"2,947"
Cassia County,16031,6.6,981,"2,682"
Gooding County,16047,6.6,670,"2,682"
Elmore County,16039,6.4,1184,"2,648"
Power County,16077,6,298,"2,563"
Washington County,16087,5.6,424,"2,461"
Canyon County,16027,5.4,8328,"2,390"
Blaine County,16013,5.1,922,"2,311"
Bingham County,16011,5,1496,"2,275"
Twin Falls County,16083,4.7,2806,"2,171"
Payette County,16075,4.6,810,"2,139"
Boundary County,16021,4.3,380,"2,017"
Teton County,16081,4.3,364,"2,017"
Clark County,16033,4.2,20,"1,974"
Fremont County,16043,3.8,356,"1,792"
Butte County,16023,3.7,66,"1,734"
Bonneville County,16019,3,2372,"1,313"
Lewis County,16061,3,80,"1,313"
Jefferson County,16051,2.8,517,"1,173"
Gem County,16045,2.7,377,"1,110"
Caribou County,16029,2.6,118,"1,024"
Nez Perce County,16069,2.4,708,875
Benewah County,16009,2.3,165,800
Bonner County,16017,2.2,806,723
Idaho County,16049,2.2,279,723
Shoshone County,16079,2,201,593
Valley County,16085,2,186,593
Ada County,16001,1.7,5959,376
Kootenai County,16055,1.6,1975,332
Bannock County,16005,1.4,787,227
Clearwater County,16035,1.4,98,227
Adams County,16003,1.1,40,126
Latah County,16057,1.1,251,126
Madison County,16065,1,177,90
Lemhi County,16059,0.9,54,75
Oneida County,16071,0.8,25,56
Boise County,16015,0.5,30,23
Franklin County,16041,0.5,44,23
Bear Lake County,16007,0.3,13,12
Custer County,16037,0.1,5,10
