Income (Median family income) for Idaho by County,,,
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023",,,
Sorted by Value,,,
,,,
County,FIPS,Value (Dollars),Rank within US (of 3139 counties)
Butte County,16023,"61,071","2,819"
Clark County,16033,"62,500","2,743"
Madison County,16065,"63,442","2,699"
Lewis County,16061,"63,450","2,698"
Washington County,16087,"64,943","2,622"
Benewah County,16009,"66,274","2,564"
Shoshone County,16079,"66,795","2,539"
Power County,16077,"70,143","2,353"
Adams County,16003,"70,714","2,318"
Elmore County,16039,"71,695","2,228"
Custer County,16037,"72,946","2,141"
Lemhi County,16059,"73,176","2,124"
Boundary County,16021,"73,370","2,111"
Lincoln County,16063,"73,393","2,110"
Jerome County,16053,"74,184","2,039"
Gem County,16045,"75,265","1,971"
Payette County,16075,"75,486","1,954"
Owyhee County,16073,"75,625","1,945"
Gooding County,16047,"75,707","1,939"
Idaho County,16049,"76,074","1,913"
Cassia County,16031,"76,731","1,856"
Minidoka County,16067,"77,305","1,806"
Bonner County,16017,"77,825","1,760"
Clearwater County,16035,"78,011","1,747"
Caribou County,16029,"78,200","1,727"
Twin Falls County,16083,"78,328","1,721"
Fremont County,16043,"79,899","1,599"
Camas County,16025,"82,386","1,417"
Oneida County,16071,"82,837","1,381"
Franklin County,16041,"83,263","1,345"
Canyon County,16027,"83,849","1,305"
Bannock County,16005,"85,065","1,206"
Bear Lake County,16007,"86,655","1,094"
Bingham County,16011,"87,409","1,052"
Latah County,16057,"88,466",988
Jefferson County,16051,"89,672",920
Boise County,16015,"90,234",893
Nez Perce County,16069,"91,340",843
Bonneville County,16019,"91,829",826
Kootenai County,16055,"92,515",787
Blaine County,16013,"92,889",769
Valley County,16085,"96,467",595
Teton County,16081,"107,450",302
Ada County,16001,"107,531",299
